-5.0005706E-07, -1.91327E-02, -6.63265E-02
-4.9999456E-07, -2.62755E-02, -6.45408E-02
-4.9993206E-07, -3.30357E-02, -6.51786E-02
-4.9986956E-07, -3.44388E-02, -6.91327E-02
-4.9980706E-07, -3.07398E-02, -7.25765E-02
-4.9974456E-07, -2.38520E-02, -7.47449E-02
-4.9968206E-07, -1.56888E-02, -7.58929E-02
-4.9961956E-07, -1.00765E-02, -7.47449E-02
-4.9955706E-07, -8.4184E-03, -7.27041E-02
-4.9949456E-07, -1.12245E-02, -6.98980E-02
-4.9943206E-07, -1.56888E-02, -6.78571E-02
-4.9936956E-07, -1.90051E-02, -6.63265E-02
-4.9930706E-07, -2.06633E-02, -6.56888E-02
-4.9924456E-07, -1.77296E-02, -6.77296E-02
-4.9918206E-07, -1.26276E-02, -7.04082E-02
-4.9911956E-07, -9.5663E-03, -7.39796E-02
-4.9905706E-07, -8.8010E-03, -7.89541E-02
-4.9899456E-07, -1.35204E-02, -8.17602E-02
-4.9893206E-07, -2.20663E-02, -8.32908E-02
-4.9886956E-07, -3.07398E-02, -8.23980E-02
-4.9880706E-07, -3.71173E-02, -7.83163E-02
-4.9874456E-07, -3.99235E-02, -7.32143E-02
-4.9868206E-07, -3.86480E-02, -6.98980E-02
-4.9861956E-07, -3.36735E-02, -6.93878E-02
-4.9855706E-07, -2.80612E-02, -7.11735E-02
-4.9849456E-07, -2.35969E-02, -7.57653E-02
-4.9843206E-07, -2.15561E-02, -8.12500E-02
-4.9836956E-07, -2.13010E-02, -8.58418E-02
-4.9830706E-07, -2.18112E-02, -8.81378E-02
-4.9824456E-07, -2.30867E-02, -8.75000E-02
-4.9818206E-07, -2.23214E-02, -8.57143E-02
-4.9811956E-07, -2.02806E-02, -8.21429E-02
-4.9805706E-07, -1.82398E-02, -7.81888E-02
-4.9799456E-07, -1.72194E-02, -7.46173E-02
-4.9793206E-07, -1.88776E-02, -7.14286E-02
-4.9786956E-07, -2.35969E-02, -6.86224E-02
-4.9780706E-07, -3.11224E-02, -6.63265E-02
-4.9774456E-07, -3.83929E-02, -6.53061E-02
-4.9768206E-07, -4.40051E-02, -6.49235E-02
-4.9761956E-07, -4.54082E-02, -6.60714E-02
-4.9755706E-07, -4.29847E-02, -6.84949E-02
-4.9749456E-07, -3.87755E-02, -7.20663E-02
-4.9743206E-07, -3.26531E-02, -7.65306E-02
-4.9736956E-07, -2.81888E-02, -7.93367E-02
-4.9730706E-07, -2.70408E-02, -8.04847E-02
-4.9724456E-07, -2.72959E-02, -8.08674E-02
-4.9718206E-07, -2.70408E-02, -7.92092E-02
-4.9711956E-07, -2.67857E-02, -7.51275E-02
-4.9705706E-07, -2.60204E-02, -7.20663E-02
-4.9699456E-07, -2.32143E-02, -7.07908E-02
-4.9693206E-07, -2.16837E-02, -6.95153E-02
-4.9686956E-07, -2.19388E-02, -7.05357E-02
-4.9680706E-07, -2.37245E-02, -7.23214E-02
-4.9674456E-07, -2.85714E-02, -7.29592E-02
-4.9668206E-07, -3.38010E-02, -7.42347E-02
-4.9661956E-07, -3.78827E-02, -7.44898E-02
-4.9655706E-07, -3.99235E-02, -7.41071E-02
-4.9649456E-07, -3.76276E-02, -7.39796E-02
-4.9643206E-07, -3.36735E-02, -7.25765E-02
-4.9636956E-07, -2.93367E-02, -7.20663E-02
-4.9630706E-07, -2.53827E-02, -7.18112E-02
-4.9624456E-07, -2.38520E-02, -7.14286E-02
-4.9618206E-07, -2.35969E-02, -7.20663E-02
-4.9611956E-07, -2.39796E-02, -7.21939E-02
-4.9605706E-07, -2.33418E-02, -7.30867E-02
-4.9599456E-07, -2.13010E-02, -7.39796E-02
-4.9593206E-07, -1.84949E-02, -7.51275E-02
-4.9586956E-07, -1.49235E-02, -7.67857E-02
-4.9580706E-07, -1.42857E-02, -7.72959E-02
-4.9574456E-07, -1.69643E-02, -7.81888E-02
-4.9568206E-07, -2.04082E-02, -7.85714E-02
-4.9561956E-07, -2.39796E-02, -7.66582E-02
-4.9555706E-07, -2.56378E-02, -7.29592E-02
-4.9549456E-07, -2.53827E-02, -6.81122E-02
-4.9543206E-07, -2.38520E-02, -6.40306E-02
-4.9536956E-07, -2.32143E-02, -6.16071E-02
-4.9530706E-07, -2.51276E-02, -6.27551E-02
-4.9524456E-07, -2.95918E-02, -6.73469E-02
-4.9518206E-07, -3.52041E-02, -7.43622E-02
-4.9511956E-07, -3.91582E-02, -8.17602E-02
-4.9505706E-07, -3.91582E-02, -8.66071E-02
-4.9499456E-07, -3.35459E-02, -8.75000E-02
-4.9493206E-07, -2.53827E-02, -8.32908E-02
-4.9486956E-07, -1.82398E-02, -7.61480E-02
-4.9480706E-07, -1.42857E-02, -6.97704E-02
-4.9474456E-07, -1.50510E-02, -6.61990E-02
-4.9468206E-07, -1.92602E-02, -6.67092E-02
-4.9461956E-07, -2.35969E-02, -7.10459E-02
-4.9455706E-07, -2.50000E-02, -7.61480E-02
-4.9449456E-07, -2.27041E-02, -7.85714E-02
-4.9443206E-07, -1.83673E-02, -7.70408E-02
-4.9436956E-07, -1.44133E-02, -7.14286E-02
-4.9430706E-07, -1.42857E-02, -6.36480E-02
-4.9424456E-07, -1.88776E-02, -5.73980E-02
-4.9418206E-07, -2.67857E-02, -5.51020E-02
-4.9411956E-07, -3.40561E-02, -5.77806E-02
-4.9405706E-07, -3.72449E-02, -6.30102E-02
-4.9399456E-07, -3.46939E-02, -6.84949E-02
-4.9393206E-07, -2.74235E-02, -7.24490E-02
-4.9386956E-07, -1.84949E-02, -7.42347E-02
-4.9380706E-07, -1.17347E-02, -7.52551E-02
-4.9374456E-07, -1.12245E-02, -7.74235E-02
-4.9368206E-07, -1.60714E-02, -8.29082E-02
-4.9361956E-07, -2.51276E-02, -9.00510E-02
-4.9355706E-07, -3.36735E-02, -9.70663E-02
-4.9349456E-07, -3.68622E-02, -9.96173E-02
-4.9343206E-07, -3.40561E-02, -9.55357E-02
-4.9336956E-07, -2.58929E-02, -8.63520E-02
-4.9330706E-07, -1.76020E-02, -7.50000E-02
-4.9324456E-07, -1.18622E-02, -6.76020E-02
-4.9318206E-07, -1.08418E-02, -6.56888E-02
-4.9311956E-07, -1.64541E-02, -6.88775E-02
-4.9305706E-07, -2.56378E-02, -7.61480E-02
-4.9299456E-07, -3.34184E-02, -8.32908E-02
-4.9293206E-07, -3.63520E-02, -8.59694E-02
-4.9286956E-07, -3.39286E-02, -8.41837E-02
-4.9280706E-07, -2.57653E-02, -8.08674E-02
-4.9274456E-07, -1.64541E-02, -7.81888E-02
-4.9268206E-07, -9.1837E-03, -7.95918E-02
-4.9261956E-07, -5.7398E-03, -8.52041E-02
-4.9255706E-07, -8.6735E-03, -9.11990E-02
-4.9249456E-07, -1.60714E-02, -9.54082E-02
-4.9243206E-07, -2.66582E-02, -9.38776E-02
-4.9236956E-07, -3.80102E-02, -8.73725E-02
-4.9230706E-07, -4.59184E-02, -7.89541E-02
-4.9224456E-07, -5.02551E-02, -7.10459E-02
-4.9218206E-07, -4.92347E-02, -6.83673E-02
-4.9211956E-07, -4.32398E-02, -7.11735E-02
-4.9205706E-07, -3.40561E-02, -7.67857E-02
-4.9199456E-07, -2.35969E-02, -8.18878E-02
-4.9193206E-07, -1.40306E-02, -8.23980E-02
-4.9186956E-07, -7.9082E-03, -7.64031E-02
-4.9180706E-07, -6.3776E-03, -6.65816E-02
-4.9174456E-07, -8.9286E-03, -5.72704E-02
-4.9168206E-07, -1.39031E-02, -5.21684E-02
-4.9161956E-07, -1.96429E-02, -5.31888E-02
-4.9155706E-07, -2.52551E-02, -5.94388E-02
-4.9149456E-07, -2.88265E-02, -6.81122E-02
-4.9143206E-07, -3.15051E-02, -7.37245E-02
-4.9136956E-07, -3.41837E-02, -7.47449E-02
-4.9130706E-07, -3.68622E-02, -7.13010E-02
-4.9124456E-07, -4.08163E-02, -6.53061E-02
-4.9118206E-07, -4.41327E-02, -6.14796E-02
-4.9111956E-07, -4.65561E-02, -5.99490E-02
-4.9105706E-07, -4.85969E-02, -6.16071E-02
-4.9099456E-07, -4.82143E-02, -6.64541E-02
-4.9093206E-07, -4.56633E-02, -6.97704E-02
-4.9086956E-07, -4.20918E-02, -7.05357E-02
-4.9080706E-07, -3.64796E-02, -6.98980E-02
-4.9074456E-07, -3.02296E-02, -6.87500E-02
-4.9068206E-07, -2.41071E-02, -7.00255E-02
-4.9061956E-07, -1.92602E-02, -7.50000E-02
-4.9055706E-07, -1.76020E-02, -8.29082E-02
-4.9049456E-07, -1.86224E-02, -9.13265E-02
-4.9043206E-07, -2.20663E-02, -9.60459E-02
-4.9036956E-07, -2.60204E-02, -9.51531E-02
-4.9030706E-07, -2.78061E-02, -8.85204E-02
-4.9024456E-07, -2.74235E-02, -7.93367E-02
-4.9018206E-07, -2.34694E-02, -7.29592E-02
-4.9011956E-07, -1.78571E-02, -7.15561E-02
-4.9005706E-07, -1.28827E-02, -7.64031E-02
-4.8999456E-07, -1.12245E-02, -8.44388E-02
-4.8993206E-07, -1.41582E-02, -9.17092E-02
-4.8986956E-07, -1.97704E-02, -9.50255E-02
-4.8980706E-07, -2.62755E-02, -9.15816E-02
-4.8974456E-07, -3.09949E-02, -8.39286E-02
-4.8968206E-07, -3.18878E-02, -7.55102E-02
-4.8961956E-07, -2.84439E-02, -7.01531E-02
-4.8955706E-07, -2.24490E-02, -6.91327E-02
-4.8949456E-07, -1.74745E-02, -7.15561E-02
-4.8943206E-07, -1.46684E-02, -7.55102E-02
-4.8936956E-07, -1.56888E-02, -7.67857E-02
-4.8930706E-07, -1.90051E-02, -7.48724E-02
-4.8924456E-07, -2.30867E-02, -7.05357E-02
-4.8918206E-07, -2.57653E-02, -6.63265E-02
-4.8911956E-07, -2.50000E-02, -6.50510E-02
-4.8905706E-07, -2.23214E-02, -6.70918E-02
-4.8899456E-07, -1.91327E-02, -7.30867E-02
-4.8893206E-07, -1.73469E-02, -8.03571E-02
-4.8886956E-07, -1.91327E-02, -8.59694E-02
-4.8880706E-07, -2.38520E-02, -8.91582E-02
-4.8874456E-07, -2.92092E-02, -8.86480E-02
-4.8868206E-07, -3.34184E-02, -8.52041E-02
-4.8861956E-07, -3.36735E-02, -8.09949E-02
-4.8855706E-07, -2.99745E-02, -7.71684E-02
-4.8849456E-07, -2.41071E-02, -7.50000E-02
-4.8843206E-07, -1.84949E-02, -7.50000E-02
-4.8836956E-07, -1.58163E-02, -7.64031E-02
-4.8830706E-07, -1.70918E-02, -7.83163E-02
-4.8824456E-07, -2.27041E-02, -7.94643E-02
-4.8818206E-07, -2.95918E-02, -7.99745E-02
-4.8811956E-07, -3.44388E-02, -7.90816E-02
-4.8805706E-07, -3.69898E-02, -7.64031E-02
-4.8799456E-07, -3.63520E-02, -7.44898E-02
-4.8793206E-07, -3.31633E-02, -7.37245E-02
-4.8786956E-07, -2.98469E-02, -7.42347E-02
-4.8780706E-07, -2.76786E-02, -7.74235E-02
-4.8774456E-07, -2.57653E-02, -8.26531E-02
-4.8768206E-07, -2.27041E-02, -8.73725E-02
-4.8761956E-07, -1.95153E-02, -9.01786E-02
-4.8755706E-07, -1.63265E-02, -9.13265E-02
-4.8749456E-07, -1.47959E-02, -9.01786E-02
-4.8743206E-07, -1.56888E-02, -8.78827E-02
-4.8736956E-07, -2.04082E-02, -8.40561E-02
-4.8730706E-07, -2.86990E-02, -8.03571E-02
-4.8724456E-07, -3.68622E-02, -7.80612E-02
-4.8718206E-07, -4.23469E-02, -7.61480E-02
-4.8711956E-07, -4.23469E-02, -7.56378E-02
-4.8705706E-07, -3.59694E-02, -7.55102E-02
-4.8699456E-07, -2.75510E-02, -7.48724E-02
-4.8693206E-07, -1.97704E-02, -7.55102E-02
-4.8686956E-07, -1.50510E-02, -7.64031E-02
-4.8680706E-07, -1.54337E-02, -7.69133E-02
-4.8674456E-07, -1.82398E-02, -7.79337E-02
-4.8668206E-07, -2.14286E-02, -7.80612E-02
-4.8661956E-07, -2.32143E-02, -7.80612E-02
-4.8655706E-07, -2.24490E-02, -7.92092E-02
-4.8649456E-07, -2.07908E-02, -8.17602E-02
-4.8643206E-07, -1.91327E-02, -8.60969E-02
-4.8636956E-07, -1.83673E-02, -9.11990E-02
-4.8630706E-07, -1.84949E-02, -9.45153E-02
-4.8624456E-07, -1.91327E-02, -9.48980E-02
-4.8618206E-07, -1.93878E-02, -9.20918E-02
-4.8611956E-07, -1.87500E-02, -8.69898E-02
-4.8605706E-07, -1.78571E-02, -8.17602E-02
-4.8599456E-07, -1.77296E-02, -7.88265E-02
-4.8593206E-07, -2.07908E-02, -7.92092E-02
-4.8586956E-07, -2.65306E-02, -8.35459E-02
-4.8580706E-07, -3.34184E-02, -8.87755E-02
-4.8574456E-07, -4.04337E-02, -9.22194E-02
-4.8568206E-07, -4.41327E-02, -9.24745E-02
-4.8561956E-07, -4.28571E-02, -8.78827E-02
-4.8555706E-07, -3.68622E-02, -8.02296E-02
-4.8549456E-07, -2.84439E-02, -7.18112E-02
-4.8543206E-07, -2.00255E-02, -6.60714E-02
-4.8536956E-07, -1.39031E-02, -6.47959E-02
-4.8530706E-07, -1.30102E-02, -6.72194E-02
-4.8524456E-07, -1.64541E-02, -7.32143E-02
-4.8518206E-07, -2.21939E-02, -7.97194E-02
-4.8511956E-07, -2.88265E-02, -8.38010E-02
-4.8505706E-07, -3.39286E-02, -8.52041E-02
-4.8499456E-07, -3.53316E-02, -8.30357E-02
-4.8493206E-07, -3.53316E-02, -7.74235E-02
-4.8486956E-07, -3.58418E-02, -7.15561E-02
-4.8480706E-07, -3.75000E-02, -6.83673E-02
-4.8474456E-07, -3.91582E-02, -6.88775E-02
-4.8468206E-07, -3.94133E-02, -7.24490E-02
-4.8461956E-07, -3.64796E-02, -7.81888E-02
-4.8455706E-07, -2.89541E-02, -8.44388E-02
-4.8449456E-07, -1.76020E-02, -8.87755E-02
-4.8443206E-07, -6.5051E-03, -9.00510E-02
-4.8436956E-07, 5.102E-04, -8.91582E-02
-4.8430706E-07, 1.2755E-03, -8.64796E-02
-4.8424456E-07, -5.6122E-03, -8.23980E-02
-4.8418206E-07, -1.60714E-02, -7.90816E-02
-4.8411956E-07, -2.55102E-02, -7.61480E-02
-4.8405706E-07, -3.03571E-02, -7.38520E-02
-4.8399456E-07, -2.92092E-02, -7.30867E-02
-4.8393206E-07, -2.29592E-02, -7.39796E-02
-4.8386956E-07, -1.55612E-02, -7.57653E-02
-4.8380706E-07, -1.28827E-02, -7.72959E-02
-4.8374456E-07, -1.64541E-02, -7.88265E-02
-4.8368206E-07, -2.46173E-02, -7.88265E-02
-4.8361956E-07, -3.36735E-02, -7.61480E-02
-4.8355706E-07, -3.97959E-02, -7.14286E-02
-4.8349456E-07, -4.14541E-02, -6.68367E-02
-4.8343206E-07, -3.86480E-02, -6.51786E-02
-4.8336956E-07, -3.26531E-02, -6.74745E-02
-4.8330706E-07, -2.80612E-02, -7.23214E-02
-4.8324456E-07, -2.72959E-02, -7.84439E-02
-4.8318206E-07, -2.99745E-02, -8.40561E-02
-4.8311956E-07, -3.41837E-02, -8.67347E-02
-4.8305706E-07, -3.81378E-02, -8.58418E-02
-4.8299456E-07, -4.01786E-02, -8.31633E-02
-4.8293206E-07, -3.86480E-02, -8.09949E-02
-4.8286956E-07, -3.44388E-02, -7.99745E-02
-4.8280706E-07, -2.97194E-02, -8.08674E-02
-4.8274456E-07, -2.47449E-02, -8.38010E-02
-4.8268206E-07, -2.20663E-02, -8.62245E-02
-4.8261956E-07, -2.23214E-02, -8.78827E-02
-4.8255706E-07, -2.35969E-02, -8.86480E-02
-4.8249456E-07, -2.65306E-02, -8.66071E-02
-4.8243206E-07, -3.07398E-02, -8.38010E-02
-4.8236956E-07, -3.34184E-02, -8.20153E-02
-4.8230706E-07, -3.38010E-02, -8.12500E-02
-4.8224456E-07, -3.17602E-02, -8.22704E-02
-4.8218206E-07, -2.62755E-02, -8.50765E-02
-4.8211956E-07, -2.04082E-02, -8.76276E-02
-4.8205706E-07, -1.61990E-02, -9.00510E-02
-4.8199456E-07, -1.33929E-02, -9.18367E-02
-4.8193206E-07, -1.41582E-02, -9.08163E-02
-4.8186956E-07, -1.68367E-02, -8.87755E-02
-4.8180706E-07, -1.96429E-02, -8.53316E-02
-4.8174456E-07, -2.25765E-02, -8.04847E-02
-4.8168206E-07, -2.43622E-02, -7.64031E-02
-4.8161956E-07, -2.71684E-02, -7.27041E-02
-4.8155706E-07, -3.03571E-02, -7.13010E-02
-4.8149456E-07, -3.50765E-02, -7.13010E-02
-4.8143206E-07, -4.00510E-02, -7.38520E-02
-4.8136956E-07, -4.29847E-02, -7.81888E-02
-4.8130706E-07, -4.29847E-02, -8.27806E-02
-4.8124456E-07, -3.90306E-02, -8.75000E-02
-4.8118206E-07, -3.27806E-02, -8.97959E-02
-4.8111956E-07, -2.69133E-02, -8.96684E-02
-4.8105706E-07, -2.27041E-02, -8.78827E-02
-4.8099456E-07, -2.16837E-02, -8.45663E-02
-4.8093206E-07, -2.44898E-02, -8.17602E-02
-4.8086956E-07, -2.79337E-02, -8.16327E-02
-4.8080706E-07, -3.07398E-02, -8.27806E-02
-4.8074456E-07, -3.12500E-02, -8.52041E-02
-4.8068206E-07, -2.99745E-02, -8.66071E-02
-4.8061956E-07, -2.86990E-02, -8.62245E-02
-4.8055706E-07, -2.64031E-02, -8.48214E-02
-4.8049456E-07, -2.52551E-02, -8.13776E-02
-4.8043206E-07, -2.58929E-02, -7.89541E-02
-4.8036956E-07, -2.66582E-02, -7.97194E-02
-4.8030706E-07, -2.66582E-02, -8.26531E-02
-4.8024456E-07, -2.50000E-02, -8.63520E-02
-4.8018206E-07, -2.24490E-02, -8.83929E-02
-4.8011956E-07, -1.90051E-02, -8.81378E-02
-4.8005706E-07, -1.73469E-02, -8.45663E-02
-4.7999456E-07, -1.76020E-02, -8.09949E-02
-4.7993206E-07, -1.97704E-02, -7.89541E-02
-4.7986956E-07, -2.47449E-02, -7.92092E-02
-4.7980706E-07, -3.01020E-02, -8.29082E-02
-4.7974456E-07, -3.53316E-02, -8.66071E-02
-4.7968206E-07, -3.89031E-02, -8.89031E-02
-4.7961956E-07, -3.94133E-02, -8.78827E-02
-4.7955706E-07, -3.75000E-02, -8.29082E-02
-4.7949456E-07, -3.30357E-02, -7.67857E-02
-4.7943206E-07, -2.71684E-02, -7.15561E-02
-4.7936956E-07, -2.14286E-02, -6.90051E-02
-4.7930706E-07, -1.76020E-02, -6.98980E-02
-4.7924456E-07, -1.74745E-02, -7.33418E-02
-4.7918206E-07, -2.14286E-02, -7.76786E-02
-4.7911956E-07, -2.65306E-02, -8.17602E-02
